PrimaryKey,LineKey,cover_type,percent
103T_2021,103T_2_2021,SH_N,58.33333333
103T_2021,103T_2_2021,PF_I,NA
103T_2021,103T_2_2021,GAP,23.33333333
103T_2021,103T_28_2021,AF_I,0
103T_2021,103T_28_2021,AF_N,0
103T_2021,103T_28_2021,AG_I,0
103T_2021,103T_28_2021,PF_N,20
103T_2021,103T_28_2021,PG_I,0
103T_2021,103T_28_2021,PG_N,28.33333333
103T_2021,103T_28_2021,SH_N,68.33333333
103T_2021,103T_28_2021,PF_I,NA
103T_2021,103T_28_2021,GAP,16.66666667
104C_2021,104C_15_2021,AF_I,0
104C_2021,104C_15_2021,AF_N,0
104C_2021,104C_15_2021,AG_I,8.333333333
104C_2021,104C_15_2021,PF_N,13.33333333
104C_2021,104C_15_2021,PG_I,0
104C_2021,104C_15_2021,PG_N,51.66666667
104C_2021,104C_15_2021,SH_N,50
104C_2021,104C_15_2021,PF_I,NA
104C_2021,104C_15_2021,GAP,18.33333333
104C_2021,104C_2_2021,AF_I,0
104C_2021,104C_2_2021,AF_N,0
104C_2021,104C_2_2021,AG_I,6.666666667
104C_2021,104C_2_2021,PF_N,5
104C_2021,104C_2_2021,PG_I,0
104C_2021,104C_2_2021,PG_N,53.33333333
104C_2021,104C_2_2021,SH_N,55
104C_2021,104C_2_2021,PF_I,NA
104C_2021,104C_2_2021,GAP,5
104C_2021,104C_28_2021,AF_I,0
104C_2021,104C_28_2021,AF_N,0
104C_2021,104C_28_2021,AG_I,3.333333333
104C_2021,104C_28_2021,PF_N,5
104C_2021,104C_28_2021,PG_I,0
104C_2021,104C_28_2021,PG_N,43.33333333
104C_2021,104C_28_2021,SH_N,53.33333333
104C_2021,104C_28_2021,PF_I,NA
104C_2021,104C_28_2021,GAP,18.33333333
104T_2021,104T_15_2021,AF_I,0
104T_2021,104T_15_2021,AF_N,0
104T_2021,104T_15_2021,AG_I,0
104T_2021,104T_15_2021,PF_N,26.66666667
104T_2021,104T_15_2021,PG_I,0
104T_2021,104T_15_2021,PG_N,30
104T_2021,104T_15_2021,SH_N,21.66666667
104T_2021,104T_15_2021,PF_I,NA
104T_2021,104T_15_2021,GAP,38.33333333
104T_2021,104T_2_2021,AF_I,0
104T_2021,104T_2_2021,AF_N,0
104T_2021,104T_2_2021,AG_I,0
104T_2021,104T_2_2021,PF_N,18.33333333
104T_2021,104T_2_2021,PG_I,0
104T_2021,104T_2_2021,PG_N,33.33333333
104T_2021,104T_2_2021,SH_N,48.33333333
104T_2021,104T_2_2021,PF_I,NA
104T_2021,104T_2_2021,GAP,16.66666667
104T_2021,104T_28_2021,AF_I,0
104T_2021,104T_28_2021,AF_N,0
104T_2021,104T_28_2021,AG_I,0
104T_2021,104T_28_2021,PF_N,20
104T_2021,104T_28_2021,PG_I,0
104T_2021,104T_28_2021,PG_N,10
104T_2021,104T_28_2021,SH_N,20
104T_2021,104T_28_2021,PF_I,NA
104T_2021,104T_28_2021,GAP,56.66666667
105T_2021,105T_15_2021,AF_I,0
105T_2021,105T_15_2021,AF_N,0
105T_2021,105T_15_2021,AG_I,1.666666667
105T_2021,105T_15_2021,PF_N,8.333333333
105T_2021,105T_15_2021,PG_I,0
105T_2021,105T_15_2021,PG_N,55
105T_2021,105T_15_2021,SH_N,38.33333333
105T_2021,105T_15_2021,PF_I,NA
105T_2021,105T_15_2021,GAP,26.66666667
105T_2021,105T_2_2021,AF_I,0
105T_2021,105T_2_2021,AF_N,1.666666667
105T_2021,105T_2_2021,AG_I,1.666666667
105T_2021,105T_2_2021,PF_N,15
105T_2021,105T_2_2021,PG_I,0
105T_2021,105T_2_2021,PG_N,61.66666667
105T_2021,105T_2_2021,SH_N,23.33333333
105T_2021,105T_2_2021,PF_I,NA
105T_2021,105T_2_2021,GAP,23.33333333
105T_2021,105T_28_2021,AF_I,0
105T_2021,105T_28_2021,AF_N,0
105T_2021,105T_28_2021,AG_I,0
105T_2021,105T_28_2021,PF_N,23.33333333
105T_2021,105T_28_2021,PG_I,0
105T_2021,105T_28_2021,PG_N,48.33333333
105T_2021,105T_28_2021,SH_N,36.66666667
105T_2021,105T_28_2021,PF_I,NA
105T_2021,105T_28_2021,GAP,18.33333333
201C_2021,201C_15_2021,AF_I,0
201C_2021,201C_15_2021,AF_N,0
201C_2021,201C_15_2021,AG_I,3.333333333
201C_2021,201C_15_2021,PF_N,10
201C_2021,201C_15_2021,PG_I,0
201C_2021,201C_15_2021,PG_N,20
201C_2021,201C_15_2021,SH_N,45
201C_2021,201C_15_2021,PF_I,NA
201C_2021,201C_15_2021,GAP,36.66666667
201C_2021,201C_2_2021,AF_I,0
201C_2021,201C_2_2021,AF_N,1.666666667
201C_2021,201C_2_2021,AG_I,11.66666667
201C_2021,201C_2_2021,PF_N,6.666666667
201C_2021,201C_2_2021,PG_I,0
201C_2021,201C_2_2021,PG_N,16.66666667
